Number_of_Vehicles,Accident_Key,Number_of_Casualties,District,Accident_Severity,Month,Year,Day,Time,Junction_Type,Junction_Control,Collision_Type,Road_Type,Weather,Light_Conditions,Road_Character,Surface_Type,Road_Condition,Surface_Condition,Roadworks,Hit_Run,X_Coordinate,Y_Coordinate,longitude,latitude
2,14344,1,Black River,Slight,Jun,2009,Tue,14:00,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,542949,7760047,57.41125011,-20.25680382
2,14345,1,Black River,Serious,Jun,2009,Tue,19:35,Not a junction,Not a junc,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,545029,7757158,57.43123848,-20.28286143
1,14346,1,Black River,Slight,Jun,2009,Tue,07:10,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,543475,7758952,57.41631301,-20.26668655
1,14349,1,R Rempart,Slight,Jun,2009,Wed,17:30,Not a junction,Not a junc,Ran off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,565075,7783823,57.62225402,-20.04133905
1,14350,1,R Rempart,Slight,Jun,2009,Sat,18:25,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,569072,7784253,57.66045567,-20.03731499
2,14351,1,R Rempart,Slight,Jun,2009,Wed,08:50,Not a junction,Not a junc,Side swipe,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,Yes,564862,7783449,57.62023065,-20.04472571
2,14352,2,R Rempart,Slight,Jun,2009,Sun,11:45,Cross,Traffic signal,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,566075,7785669,57.63174902,-20.02462451
2,14353,1,Pamplemousses,Fatal,Jun,2009,Sat,12:00,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,Yes,562817,7773823,57.60100817,-20.13177468
1,14354,1,Pamplemousses,Fatal,Jun,2009,Sun,18:50,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,Yes,565697,7772079,57.62862469,-20.14743735
2,14355,3,Pamplemousses,Slight,Jun,2009,Sun,09:50,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,560295,7776170,57.57680184,-20.11064757
2,14356,4,Port Louis,Slight,Jun,2009,Sat,21:30,Cross,Traffic signal,Right angle,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,552790,7770328,57.50517842,-20.16365716
1,14357,1,Port Louis,Serious,Jun,2009,Sun,15:10,Not a junction,Not a junc,Hit pedestrian,Dual carriageway,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552300,7770554,57.50048294,-20.16162838
1,14358,1,Port Louis,Slight,Jun,2009,Sat,11:40,Cross,Stop sign,Hit pedestrian,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552569,7770729,57.50305199,-20.16003971
2,14359,1,Port Louis,Slight,Jun,2009,Wed,22:00,Cross,Traffic signal,Rear end,One way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,552886,7770423,57.5060943,-20.16279608
1,14360,1,Port Louis,Fatal,Jun,2009,Sat,23:35,Cross,Traffic signal,Other,Dual carriageway,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,552363,7770605,57.50108433,-20.16116582
1,14361,1,Flacq,Slight,Jun,2009,Mon,14:45,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575195,7767063,57.71970957,-20.19241313
2,14362,1,Flacq,Slight,Jun,2009,Sun,19:45,Not a junction,Not a junc,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,576725,7765904,57.73440177,-20.202825
1,14363,1,Flacq,Slight,Jun,2009,Sun,22:20,Not a junction,Not a junc,Hit object off road,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,577376,7770052,57.74045563,-20.16531859
